IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;HORAIREPLANTATION;REMARQUABLE;Latitude;Longitude
2002384.0;Cedre;Cedrus;libani;LAC DE GRAVELLE - ROUTE DU PESAGE / ROUTE DE LA TOURELLE;Arbre;Jardin;BOIS DE VINCENNES;12-16;12-16;420.0;22.0;Mature;Inconnue;;1829-01-01;01:09:49;OUI;48,8201255055;2,4451177535
120016.0;Cedrele;Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;Arbre;Jardin;PARIS 18E ARRDT;18-08;00000009;238.0;15.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8933554590;2,3468204837
110934.0;Chêne;Quercus;ilex;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;0311B1011;255.0;15.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8218388917;2,3357861517
140495.0;Erable;Acer;monspessulanum;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-07;D00000077020;232.0;14.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8619329900;2,3987104322
139108.0;Chicot du Canada;Gymnocladus;dioica;SQUARE ROBERT SCHUMAN;Arbre;Jardin;PARIS 16E ARRDT;16-42;00000007;173.0;13.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8691331657;2,2722482977
307558.0;Lilas de Perse;Melia;azedarach;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;000112001;168.0;14.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8672440883;2,3175195606
120761.0;Sophora;Sophora;japonica;SQUARE NADAR / 2 RUE SAINT ELEUTHERE;Arbre;Jardin;PARIS 18E ARRDT;18-07;000102003;310.0;17.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8859514292;2,3416796928
112946.0;Arbre aux quarante ecus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;0417A2001;430.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8231288576;2,3387092582
120588.0;Platane;Platanus;orientalis;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;000103015;520.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8846084353;2,3439162549
114869.0;Savonnier;Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 a 26;000206001 / 16-34;164.0;8.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8735408016;2,2904501564
